X	Feature Profile 1
25018.5012481	512
25048.5697481	511
25078.6382481	514
25108.7067481	514
25151.2298872	514
25181.2983872	513
25223.8216677	510
25266.3449482	508
25308.8682287	510
25351.3914385	514
25393.9146483	514
25423.9831483	514
25454.0516483	511
25484.1200483	508
25514.1885483	503
25544.2570483	502
25574.3255483	503
25604.3939483	504
25634.4624483	503
25664.5309483	503
25694.5994483	501
25724.6678483	503
25767.1911288	503
25809.7144093	500
25839.7829093	505
25882.3061191	503
25924.8293288	503
25967.3526093	502
26009.8758898	498
26052.3991703	499
26094.9223094	498
26137.4455899	499
26179.9688704	503
26222.4921509	502
26252.5605509	501
26282.6290509	504
26325.1522607	501
26355.2207607	502
26385.2891607	503
26415.3576607	503
26445.4261607	503
26475.4946607	502
26505.5630607	503
26535.6315607	502
26565.7000607	501
26595.7685607	502
26625.8369607	502
26655.9054607	501
26685.9739607	500
26716.0424607	501
26746.1109607	502
26776.1793607	505
26818.7026412	503
26848.7711412	503
26878.8396412	503
26908.9080412	499
26938.9765412	497
26969.0450412	498
27011.5683217	505
27054.0914608	501
27096.6147413	499
27139.1380218	502
27181.6613023	504
27224.1844414	503
27254.2529414	502
27284.3214414	498
27326.8446512	502
27369.367861	505
27399.436361	505
27429.504861	501
27459.573261	503
27489.641761	504
27519.710261	499
27549.778761	497
27579.847161	500
27609.915661	501
27639.984161	502
27682.5074415	503
27725.030722	505
27767.5539317	502
27810.0771415	503
27852.600422	503
27882.668922	501
27912.737422	498
27942.805922	498
27972.874322	500
28002.942822	498
28033.011322	497
28063.079822	497
28093.148222	495
28135.6715025	497
28178.1947123	497
28220.7179928	495
28250.7864928	497
28293.3097026	497
28335.8329124	497
28365.9014124	495
28395.9699124	496
28426.0384124	499
28468.5616222	499
28498.6301222	497
28528.6986222	497
28558.7671222	500
28588.8355222	500
28618.9040222	499
28661.4273027	497
28691.4958027	500
28734.0190125	500
28764.0874125	499
28794.1559125	499
28836.679193	498
28866.747693	498
28896.816093	495
28926.884593	492
28956.953093	496
28987.021593	496
29017.090093	490
29059.6133028	497
29102.1365833	498
29144.6597931	496
29187.1830736	493
29217.2515736	496
29247.3200736	498
29289.8432126	489
29332.3664931	489
29374.8897736	493
29417.4130541	494
29459.9361932	497
29502.4594737	499
29544.9827542	494
29587.5060347	494
29630.0291738	497
29672.5524543	498
29715.0757348	498
29745.1442348	498
29775.2126348	498
29805.2811348	489
29835.3496348	490
29877.8729153	492
29920.3961958	497
29950.4645958	499
29992.9878056	499
30023.0563056	497
30053.1248056	498
30095.6480154	497
30125.7165154	496
30155.7850154	493
30185.8535154	490
30228.3767252	485
30258.4452252	494
30300.9685057	488
30331.0370057	486
30361.1054057	485
30391.1739057	486
30421.2424057	490
30451.3109057	494
30493.8340447	495
30536.3572545	495
30566.4257545	490
30596.4942545	491
30626.5626545	494
30669.0858643	493
30699.1543643	494
30741.6775741	495
30784.2008546	494
30826.7240644	495
30869.2472742	492
30899.3157742	491
30929.3842742	492
30959.4526742	494
30989.5211742	494
31019.5896742	493
31049.6581742	492
31092.181384	494
31134.7046645	494
31164.7731645	493
31194.8416645	493
31224.9100645	492
31254.9785645	492
31285.0470645	490
31315.1155645	488
31357.6387743	487
31400.1619841	488
31442.6852646	488
31485.2085451	492
31527.7318256	492
31570.2549646	490
31612.7782451	491
31655.3015256	492
31697.8248061	493
31740.3479452	492
31770.4164452	491
31812.9397257	492
31843.0082257	491
31885.5314355	490
31928.054716	490
31970.5779965	492
32013.1012063	491
32043.1697063	490
32073.2382063	489
32103.3067063	491
32145.8298454	491
32175.8983454	490
32205.9668454	490
32248.4901259	490
32291.0133357	490
32321.0818357	490
32363.6050455	489
32406.128326	491
32448.6516065	490
32478.7200065	491
32508.7885065	490
32538.8570065	490
32568.9254065	490
32598.9939065	489
32629.0624065	487
32671.585687	488
32714.1089675	490
32756.6321065	488
32786.7006065	486
32816.7691065	485
32859.2923163	488
32901.8155968	486
32931.8839968	486
32961.9524968	488
33004.4757773	487
33034.5442773	486
33064.6126773	485
33094.6811773	485
33124.7496773	483
33167.2728871	481
33209.7960969	483
33252.3193774	485
33294.8426579	486
33324.9111579	486
33367.434297	484
33397.502797	485
33427.571297	484
33457.639797	485
33500.1630068	486
33542.6862873	484
33572.7547873	486
33615.2780678	486
33657.8012069	482
33700.3244874	485
33742.8477679	486
33785.3710484	482
33815.4394484	483
33845.5079484	484
33875.5764484	484
33905.6449484	483
33948.1682289	483
33978.2366289	482
34020.7598386	481
34063.2831191	483
34105.8063996	483
34148.3296094	482
34178.3981094	482
34220.9213192	481
34250.9898192	482
34293.513029	483
34323.581529	483
34353.650029	482
34383.718529	482
34413.786929	480
34443.855429	478
34473.923929	482
34516.4472095	483
34546.5156095	482
34576.5841095	483
34619.10739	483
34649.17589	483
34691.6991705	483
34734.2223803	479
34776.7455901	477
34819.2688706	479
34861.7921511	483
34904.3153609	483
34946.8385707	480
34976.9070707	482
35019.4303512	480
35049.4987512	481
35079.5672512	480
35109.6357512	482
35139.7042512	483
35169.7726512	483
35199.8411512	483
35242.3644317	480
35284.8877122	478
35327.4108513	478
35369.9341318	479
35412.4574123	481
35454.9806928	479
35485.0490928	481
35515.1175928	481
35557.6408733	480
35600.164083	476
35630.232583	476
35660.300983	476
35690.369483	479
35720.437983	483
35762.9612635	483
35793.0296635	483
35823.0981635	480
35853.1666635	477
35883.2351635	477
35913.3035635	476
35943.3720635	475
35973.4405635	477
36003.5090635	480
36033.5774635	483
36076.100744	480
36118.6240245	480
36148.6925245	483
36178.7609245	481
36208.8294245	479
36238.8979245	481
36268.9664245	481
36299.0349245	478
36329.1033245	478
36359.1718245	479
36401.695105	481
36444.2183855	480
36486.7415953	481
36529.2648051	481
36559.3333051	480
36589.4018051	478
36619.4702051	477
36649.5387051	477
36679.6072051	479
36709.6757051	477
36739.7441051	476
36769.8126051	473
36812.3358149	473
36854.8590954	476
36897.3823052	467
36927.4508052	472
36957.5192052	475
36987.5877052	476
37017.6562052	476
37047.7247052	475
37090.247915	471
37120.316415	476
37150.384915	476
37180.453415	475
37210.521815	472
37253.0450955	476
37295.5683053	475
37325.6368053	475
37368.1600151	474
37398.2285151	475
37428.2970151	474
37470.8202956	472
37513.3435054	474
37555.8667152	473
37585.9352152	471
37616.0037152	470
37646.0722152	472
37688.5953542	474
37718.6638542	474
37748.7323542	474
37778.8008542	475
37821.3239933	472
37851.3924933	471
37881.4609933	470
37911.5294933	471
37941.5978933	472
37971.6663933	474
38014.1896031	475
38056.7128836	474
38086.7812836	472
38116.8497836	474
38159.3730641	471
38189.4415641	469
38219.5099641	471
38262.0332446	473
38304.5564544	472
38347.0797349	471
38377.1482349	470
38407.2166349	471
38437.2851349	472
38467.3536349	469
38497.4221349	468
38539.9453447	470
38582.4686252	472
38624.9919057	465
38655.0604057	465
38697.5835448	465
38740.1068253	465
38782.6301058	465
38825.1533863	466
38867.6765253	465
38910.1998058	465
38940.2683058	465
38982.7915863	465
39012.8599863	465
39055.3832668	465
39085.4517668	465
39115.5202668	465
39158.0434059	465
39188.1119059	465
39218.1804059	465
39248.2489059	465
39278.3173059	465
39308.3858059	465
39338.4543059	465
39368.5228059	465
39398.5912059	465
39428.6597059	465
39458.7282059	465
39488.7967059	466
39518.8652059	466
39548.9336059	466
39579.0021059	462
39609.0706059	461
39639.1391059	462
39669.2075059	466
39699.2760059	465
39729.3445059	465
39759.4130059	465
39789.4814059	465
39819.5499059	465
39849.6184059	465
39892.1416864	465
39934.6648962	465
39977.1881767	465
40019.7114572	465
40062.234667	465
40104.7578768	465
40147.2811573	465
40189.8044378	465
40232.3276476	465
40262.3961476	465
40292.4646476	465
40322.5331476	465
40365.0563574	465
40395.1248574	465
40425.1933574	465
40455.2618574	465
40485.3302574	465
40515.3987574	465
40545.4672574	465
40575.5357574	465
40605.6041574	465
40635.6726574	465
40665.7411574	465
40695.8096574	465
40725.8780574	465
40755.9465574	465
40786.0150574	465
40816.0835574	465
40846.1520574	465
40876.2204574	465
40906.2889574	465
40936.3574574	465
40966.4259574	465
40996.4943574	465
41026.5628574	465
41056.6313574	465
41086.6998574	465
41116.7682574	466
41159.2915379	465
41189.3600379	465
41219.4285379	465
41249.4969379	465
41279.5654379	465
41309.6339379	465
41339.7024379	465
41369.7708379	465
41399.8393379	465
41429.9078379	465
41459.9763379	465
41490.0448379	465
41520.1132379	465
41550.1817379	465
41580.2502379	465
41610.3187379	465
41640.3871379	465
41670.4556379	465
41700.5241379	465
41730.5926379	465
41760.6610379	465
41790.7295379	465
41820.7980379	465
41850.8665379	465
41880.9349379	465
41911.0034379	465
