Longitude,Latitude
71.28,27.12
71.28,27.24
71.28,27.36
71.28,27.48
71.28,27.6
71.28,27.72
71.28,27.84
71.4,20.88
71.4,21
71.4,21.12
71.4,21.24
71.4,21.36
71.4,21.48
71.4,21.6
71.4,21.72
71.4,21.84
71.4,21.96
71.4,22.08
71.4,22.2
71.4,22.32
71.4,22.44
71.4,22.56
71.4,22.68
71.4,22.8
71.4,22.92
71.4,23.04
71.4,23.16
71.4,23.28
71.4,23.4
71.4,23.52
71.4,23.64
71.4,23.76
71.4,23.88
71.4,24
71.4,24.12
71.4,24.24
71.4,24.36
71.4,24.48
71.4,24.6
71.4,24.72
71.4,24.84
71.4,24.96
71.4,25.08
71.4,25.2
71.4,25.32
71.4,25.44
71.4,25.56
71.4,25.68
71.4,25.8
71.4,25.92
71.4,26.04
71.4,26.16
71.4,26.28
71.4,26.4
71.4,26.52
71.4,26.64
71.4,26.76
71.4,26.88
71.4,27
71.4,27.12
71.4,27.24
71.4,27.36
71.4,27.48
71.4,27.6
71.4,27.72
71.4,27.84
71.52,21
71.52,21.12
71.52,21.24
71.52,21.36
71.52,21.48
71.52,21.6
71.52,21.72
71.52,21.84
71.52,21.96
71.52,22.08
71.52,22.2
71.52,22.32
71.52,22.44
71.52,22.56
71.52,22.68
71.52,22.8
71.52,22.92
71.52,23.04
71.52,23.16
71.52,23.28
71.52,23.4
71.52,23.52
71.52,23.64
71.52,23.76
71.52,23.88
71.52,24
71.52,24.12
71.52,24.24
71.52,24.36
71.52,24.48
71.52,24.6
71.52,24.72
71.52,24.84
71.52,24.96
71.52,25.08
71.52,25.2
71.52,25.32
71.52,25.44
71.52,25.56
71.52,25.68
71.52,25.8
71.52,25.92
71.52,26.04
71.52,26.16
71.52,26.28
71.52,26.4
71.52,26.52
71.52,26.64
71.52,26.76
71.52,26.88
71.52,27
71.52,27.12
71.52,27.24
71.52,27.36
71.52,27.48
71.52,27.6
71.52,27.72
71.52,27.84
71.64,21
71.64,21.12
71.64,21.24
71.64,21.36
71.64,21.48
71.64,21.6
71.64,21.72
71.64,21.84
71.64,21.96
71.64,22.08
71.64,22.2
71.64,22.32
71.64,22.44
71.64,22.56
71.64,22.68
71.64,22.8
71.64,22.92
71.64,23.04
71.64,23.16
71.64,23.28
71.64,23.4
71.64,23.52
71.64,23.64
71.64,23.76
71.64,23.88
71.64,24
71.64,24.12
71.64,24.24
71.64,24.36
71.64,24.48
71.64,24.6
71.64,24.72
71.64,24.84
71.64,24.96
71.64,25.08
71.64,25.2
71.64,25.32
71.64,25.44
71.64,25.56
71.64,25.68
71.64,25.8
71.64,25.92
71.64,26.04
71.64,26.16
71.64,26.28
71.64,26.4
71.64,26.52
71.64,26.64
71.64,26.76
71.64,26.88
71.64,27
71.64,27.12
71.64,27.24
71.64,27.36
71.64,27.48
71.64,27.6
71.64,27.72
71.64,27.84
71.76,21.12
71.76,21.24
71.76,21.36
71.76,21.48
71.76,21.6
71.76,21.72
71.76,21.84
71.76,21.96
71.76,22.08
71.76,22.2
71.76,22.32
71.76,22.44
71.76,22.56
71.76,22.68
71.76,22.8
71.76,22.92
71.76,23.04
71.76,23.16
71.76,23.28
71.76,23.4
71.76,23.52
71.76,23.64
71.76,23.76
71.76,23.88
71.76,24
71.76,24.12
71.76,24.24
71.76,24.36
71.76,24.48
71.76,24.6
71.76,24.72
71.76,24.84
71.76,24.96
71.76,25.08
71.76,25.2
71.76,25.32
71.76,25.44
71.76,25.56
71.76,25.68
71.76,25.8
71.76,25.92
71.76,26.04
71.76,26.16
71.76,26.28
71.76,26.4
71.76,26.52
71.76,26.64
71.76,26.76
71.76,26.88
71.76,27
71.76,27.12
71.76,27.24
71.76,27.36
71.76,27.48
71.76,27.6
71.76,27.72
71.76,27.84
71.88,21.12
71.88,21.24
71.88,21.36
71.88,21.48
71.88,21.6
71.88,21.72
71.88,21.84
71.88,21.96
71.88,22.08
71.88,22.2
71.88,22.32
71.88,22.44
71.88,22.56
71.88,22.68
71.88,22.8
71.88,22.92
71.88,23.04
71.88,23.16
71.88,23.28
71.88,23.4
71.88,23.52
71.88,23.64
71.88,23.76
71.88,23.88
71.88,24
71.88,24.12
71.88,24.24
71.88,24.36
71.88,24.48
71.88,24.6
71.88,24.72
71.88,24.84
71.88,24.96
71.88,25.08
71.88,25.2
71.88,25.32
71.88,25.44
71.88,25.56
71.88,25.68
71.88,25.8
71.88,25.92
71.88,26.04
71.88,26.16
71.88,26.28
71.88,26.4
71.88,26.52
71.88,26.64
71.88,26.76
71.88,26.88
71.88,27
71.88,27.12
71.88,27.24
71.88,27.36
71.88,27.48
71.88,27.6
71.88,27.72
71.88,27.84
72,21.24
72,21.36
72,21.48
72,21.6
72,21.72
72,21.84
72,21.96
72,22.08
72,22.2
72,22.32
72,22.44
72,22.56
72,22.68
72,22.8
72,22.92
72,23.04
72,23.16
72,23.28
72,23.4
72,23.52
72,23.64
72,23.76
72,23.88
72,24
72,24.12
72,24.24
72,24.36
72,24.48
72,24.6
72,24.72
72,24.84
72,24.96
72,25.08
72,25.2
72,25.32
72,25.44
72,25.56
72,25.68
72,25.8
72,25.92
72,26.04
72,26.16
72,26.28
72,26.4
72,26.52
72,26.64
72,26.76
72,26.88
72,27
72,27.12
72,27.24
72,27.36
72,27.48
72,27.6
72,27.72
72,27.84
72,27.96
72,28.08
72,28.2
72.12,21.36
72.12,21.48
72.12,21.6
72.12,21.72
72.12,21.84
72.12,21.96
72.12,22.08
72.12,22.2
72.12,22.32
72.12,22.44
72.12,22.56
72.12,22.68
72.12,22.8
