long,lat,Distance,Elevation,L-Mean,L-CV,L-Skew,L-Kurtosis,,,,,,,,,,,,,,,,,
77.5,11.75,175726.1906,1112,60.25606604,0.170758532,0.219212432,0.216415074,,,,,,,,,,-0.344948725,-1.964072065,-0.791719901,0.287620773,-0.963094796,-0.985500836,-0.332192927,0.282516233
78,11.75,222278,292,89.15642229,0.229979787,0.401306457,0.329694567,,,,,,,,,,-0.259607372,-1.964072065,-0.675591374,-0.361933663,0.095338651,-0.27967005,2.195369299,1.935206009
78.5,11.75,166708.5,373,69.40540088,0.207861272,0.145479075,0.172754361,,,,,,,,,,-0.174266019,-1.964072065,-0.814215506,-0.297770359,-0.628013736,-0.543290414,-1.355651263,-0.354471204
79,11.75,111139,116,97.16398009,0.246909172,0.204036502,0.194054314,,,,,,,,,,-0.088924666,-1.964072065,-0.952839638,-0.501350225,0.38860379,-0.077896529,-0.542842933,-0.043715801
79.5,11.75,55569.5,27,139.671004,0.230875855,0.22926117,0.209308951,,,,,,,,,,-0.003583313,-1.964072065,-1.091463769,-0.571850645,1.945361619,-0.268990229,-0.192711082,0.178841539
75.5,12.25,55569.5,396,176.4651604,0.201372036,0.16920384,0.160683861,,,,,,,,,,-0.686314137,-1.879792314,-1.091463769,-0.279551149,3.292893998,-0.620632621,-1.026338867,-0.530573616
76,12.25,78587.13921,889,58.22393984,0.231899704,0.371270178,0.294306632,,,,,,,,,,-0.600972784,-1.879792314,-1.034043777,0.110973652,-1.037518458,-0.256787446,1.77844972,1.418914165
76.5,12.25,124257.1813,791,59.79691697,0.206577665,0.329570912,0.273093089,,,,,,,,,,-0.515631431,-1.879792314,-0.920114915,0.033343976,-0.979910462,-0.558589133,1.199641659,1.109419439
77,12.25,157174.2784,640,59.80958532,0.192601947,0.221355827,0.173111023,,,,,,,,,,-0.430290078,-1.879792314,-0.837999654,-0.086269097,-0.979446502,-0.725159261,-0.302441461,-0.349267688
77.5,12.25,200358.6798,543,60.41313705,0.177809287,0.120787449,0.153201073,,,,,,,,,,-0.344948725,-1.879792314,-0.730271491,-0.163106634,-0.957342299,-0.901466144,-1.698384207,-0.63974366
78,12.25,222278,507,73.96308887,0.177134085,0.138631412,0.166054074,,,,,,,,,,-0.259607372,-1.879792314,-0.675591374,-0.191623658,-0.461095053,-0.909513565,-1.45070048,-0.452224959
78.5,12.25,166708.5,376,70.25019247,0.201225002,0.296613226,0.268732192,,,,,,,,,,-0.174266019,-1.879792314,-0.814215506,-0.29539394,-0.597074475,-0.622385051,0.742171392,1.045796186
79,12.25,111139,195,82.41156929,0.210202274,0.255950733,0.250676574,,,,,,,,,,-0.088924666,-1.879792314,-0.952839638,-0.4387712,-0.151681765,-0.515389093,0.177754293,0.782373968
79.5,12.25,55569.5,62,106.6085738,0.212976618,0.145539305,0.220394856,,,,,,,,,,-0.003583313,-1.879792314,-1.091463769,-0.544125761,0.734498277,-0.482322968,-1.354815239,0.340579214
80,12.25,0,5,106.360939,0.226540746,0.077119424,0.240386695,,,,,,,,,,0.08175804,-1.879792314,-1.230087901,-0.589277715,0.725429013,-0.320658391,-2.304519694,0.632249904
75,12.75,0,90,160.0637248,0.143159072,0.10890359,0.123634542,,,,,,,,,,-0.77165549,-1.795512563,-1.230087901,-0.521945853,2.692215311,-1.314446053,-1.863338511,-1.071104201
75.5,12.75,55569.5,120,131.7993564,0.211423923,0.278544482,0.148187139,,,,,,,,,,-0.686314137,-1.795512563,-1.091463769,-0.498181666,1.657073993,-0.500828822,0.491367585,-0.712894388
76,12.75,111139,958,60.57699737,0.200004078,0.230001446,0.164802303,,,,,,,,,,-0.600972784,-1.795512563,-0.952839638,0.165631282,-0.951341154,-0.636936681,-0.182435656,-0.470487657
76.5,12.75,157174.2784,848,56.47245743,0.196422092,0.170395939,0.156562355,,,,,,,,,,-0.515631431,-1.795512563,-0.837999654,0.07849593,-1.10166395,-0.679628717,-1.009791896,-0.590704277
77,12.75,200358.6798,663,62.02110256,0.13772213,0.126361416,0.180099513,,,,,,,,,,-0.430290078,-1.795512563,-0.730271491,-0.068049887,-0.898452905,-1.379246454,-1.621014571,-0.247309199
77.5,12.75,235761.411,718,68.04670526,0.179599985,0.16674038,0.165222164,,,,,,,,,,-0.344948725,-1.795512563,-0.641955547,-0.024482212,-0.677773984,-0.880123641,-1.060533006,-0.4643621
78,12.75,222278,786,64.12601023,0.207043837,0.246865327,0.169796407,,,,,,,,,,-0.259607372,-1.795512563,-0.675591374,0.029383278,-0.821363728,-0.553033045,0.05164401,-0.397626238
78.5,12.75,166708.5,439,71.61198575,0.204751354,0.168010987,0.195140843,,,,,,,,,,-0.174266019,-1.795512563,-0.814215506,-0.245489148,-0.54720078,-0.580356091,-1.042896303,-0.027863899
79,12.75,111139,645,79.4782399,0.208192162,0.259098494,0.212410493,,,,,,,,,,-0.088924666,-1.795512563,-0.952839638,-0.082308399,-0.259110681,-0.539346689,0.221446896,0.224091448
79.5,12.75,55569.5,116,106.5624467,0.254548158,0.330408275,0.291083026,,,,,,,,,,-0.003583313,-1.795512563,-1.091463769,-0.501350225,0.732808939,0.013149017,1.211264704,1.371883404
80,12.75,0,45,128.54674,0.219248948,0.244167878,0.179045947,,,,,,,,,,0.08175804,-1.795512563,-1.230087901,-0.557592133,1.537951655,-0.407565964,0.014201979,-0.262680187
75,13.25,0,50,154.3079028,0.157631166,0.131959781,0.173886525,,,,,,,,,,-0.77165549,-1.711232813,-1.230087901,-0.553631435,2.481416715,-1.141959849,-1.543306278,-0.337953511
75.5,13.25,55569.5,773,108.8194596,0.196134699,0.15248615,0.138891545,,,,,,,,,,-0.686314137,-1.711232813,-1.091463769,0.019085464,0.815468748,-0.683054022,-1.258389324,-0.848512343
