Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis,,,,,,,,,,,Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis
78.75,10.25,89,27784.75,0.285675411,0.315541074,0.388596723,,,,,,,,,,,-0.112995983,-2.227128329,-0.51737443,-1.173808689,0.381992082,1.09305313,3.079333723
79,10.25,69,0,0.265549023,0.26930948,0.247614993,,,,,,,,,,,-0.07007831,-2.227128329,-0.533382319,-1.243235881,0.139882787,0.397681582,0.829083436
79.25,10.25,23,0,0.242150602,0.309652516,0.282612963,,,,,,,,,,,-0.027160637,-2.227128329,-0.570200464,-1.243235881,-0.141587251,1.004483056,1.387696187
76.25,10.5,29,27784.75,0.162179669,0.220713233,0.181360472,,,,,,,,,,,-0.542172709,-2.184986825,-0.565398097,-1.173808689,-1.10359326,-0.333256821,-0.228424193
76.5,10.5,330,39293.5696,0.188656536,0.228710264,0.213140308,,,,,,,,,,,-0.499255037,-2.184986825,-0.324479365,-1.145051006,-0.785091222,-0.212973107,0.278822988
76.75,10.5,672,62128.59065,0.276626402,0.285878002,0.251390141,,,,,,,,,,,-0.456337364,-2.184986825,-0.05074446,-1.087991957,0.273137518,0.646889489,0.889339668
77,10.5,418,87863.09528,0.273114562,0.245590712,0.221989662,,,,,,,,,,,-0.413419691,-2.184986825,-0.254044652,-1.023687819,0.230892029,0.040926493,0.420070094
77.25,10.5,384,114559.4563,0.246847893,0.186619347,0.195352226,,,,,,,,,,,-0.370502019,-2.184986825,-0.281258064,-0.95698024,-0.085081443,-0.846064541,-0.005097749
77.5,10.5,294,141674.9828,0.228132422,0.179065087,0.170033208,,,,,,,,,,,-0.327584346,-2.184986825,-0.353293565,-0.889225271,-0.310218189,-0.959688515,-0.409221939
77.75,10.5,284,141674.9828,0.179617117,0.118625671,0.202064064,,,,,,,,,,,-0.284666673,-2.184986825,-0.36129751,-0.889225271,-0.893830423,-1.868760572,0.102031845
78,10.5,242,114559.4563,0.302247673,0.257829704,0.353467441,,,,,,,,,,,-0.241749001,-2.184986825,-0.394914077,-0.95698024,0.58134721,0.225013739,2.518625063
78.25,10.5,292,87863.09528,0.273584344,0.205453051,0.341658951,,,,,,,,,,,-0.198831328,-2.184986825,-0.354894354,-1.023687819,0.236543246,-0.562785926,2.330146329
78.5,10.5,162,62128.59065,0.289243852,0.327643092,0.397927172,,,,,,,,,,,-0.155913655,-2.184986825,-0.458945634,-1.087991957,0.42491845,1.275080144,3.228259726
78.75,10.5,132,39293.5696,0.315719558,0.314588523,0.343371627,,,,,,,,,,,-0.112995983,-2.184986825,-0.482957468,-1.145051006,0.743406522,1.078725766,2.357482847
79,10.5,100,27784.75,0.295766358,0.251303545,0.260551082,,,,,,,,,,,-0.07007831,-2.184986825,-0.508570091,-1.173808689,0.503380583,0.126853479,1.035560105
79.25,10.5,22,0,0.261193232,0.315097647,0.320738809,,,,,,,,,,,-0.027160637,-2.184986825,-0.571000859,-1.243235881,0.087485035,1.086383524,1.996233874
79.5,10.5,6,0,0.246491647,0.217032046,0.227176499,,,,,,,,,,,0.015757035,-2.184986825,-0.58380717,-1.243235881,-0.089366885,-0.388625725,0.502858704
76,10.75,12,0,0.170531176,0.233269725,0.177080647,,,,,,,,,,,-0.585090382,-2.142845321,-0.579004803,-1.243235881,-1.003129258,-0.144394043,-0.296735721
76.25,10.75,33,27784.75,0.185852956,0.290980238,0.234136713,,,,,,,,,,,-0.542172709,-2.142845321,-0.56219652,-1.173808689,-0.818816736,0.723632458,0.613952699
76.5,10.75,51,55569.5,0.186971643,0.230542535,0.256388136,,,,,,,,,,,-0.499255037,-2.142845321,-0.547789419,-1.104381496,-0.805359551,-0.185413834,0.969114116
76.75,10.75,119,78587.13921,0.214850051,0.264642012,0.230620632,,,,,,,,,,,-0.456337364,-2.142845321,-0.493362596,-1.04686613,-0.469997751,0.32747798,0.55783151
77,10.75,269,100179.3399,0.19635977,0.27083807,0.196694099,,,,,,,,,,,-0.413419691,-2.142845321,-0.373303427,-0.992912581,-0.692425585,0.420673175,0.016320276
77.25,10.75,319,124257.1813,0.280561751,0.372886821,0.305435592,,,,,,,,,,,-0.370502019,-2.142845321,-0.333283704,-0.932748033,0.320477586,1.955593168,1.751974789
77.5,10.75,257,149625.4559,0.228438083,0.232347937,0.22436087,,,,,,,,,,,-0.327584346,-2.142845321,-0.382908161,-0.869359013,-0.306541256,-0.158258699,0.457917633
77.75,10.75,243,149625.4559,0.220358739,0.18213021,0.200359913,,,,,,,,,,,-0.284666673,-2.142845321,-0.394113683,-0.869359013,-0.403731287,-0.913585858,0.074831396
78,10.75,192,124257.1813,0.313079859,0.286449711,0.370712333,,,,,,,,,,,-0.241749001,-2.142845321,-0.4349338,-0.932748033,0.711652405,0.655488591,2.793875787
78.25,10.75,165,100179.3399,0.294294181,0.290875846,0.37231325,,,,,,,,,,,-0.198831328,-2.142845321,-0.456544451,-0.992912581,0.485671109,0.722062293,2.819428487
78.5,10.75,121,78587.13921,0.28205049,0.37357634,0.365938034,,,,,,,,,,,-0.155913655,-2.142845321,-0.491761807,-1.04686613,0.338386291,1.965964256,2.717671816
78.75,10.75,74,62128.59065,0.2740614,0.255282437,0.27021474,,,,,,,,,,,-0.112995983,-2.142845321,-0.529380347,-1.087991957,0.242281966,0.186700178,1.189804553
79,10.75,66,39293.5696,0.262376316,0.238325638,0.259814294,,,,,,,,,,,-0.07007831,-2.142845321,-0.535783502,-1.145051006,0.10171688,-0.068347821,1.023800018
79.25,10.75,40,27784.75,0.230683198,0.237130908,0.228885457,,,,,,,,,,,-0.027160637,-2.142845321,-0.556593758,-1.173808689,-0.279533767,-0.086317811,0.530135879
79.5,10.75,25,27784.75,0.249612602,0.235182021,0.193129291,,,,,,,,,,,0.015757035,-2.142845321,-0.568599675,-1.173808689,-0.051823526,-0.11563111,-0.040578659
79.75,10.75,4,0,0.282617132,0.306770202,0.248715627,,,,,,,,,,,0.058674708,-2.142845321,-0.585407959,-1.243235881,0.34520268,0.961130038,0.846650974
76,11,64,0,0.186654275,0.208579737,0.167878619,,,,,,,,,,,-0.585090382,-2.100703817,-0.537384291,-1.243235881,-0.809177312,-0.515757297,-0.443611959
76.25,11,243,27784.75,0.19930857,0.255047548,0.190742026,,,,,,,,,,,-0.542172709,-2.100703817,-0.394113683,-1.173808689,-0.656953155,0.183167202,-0.078682488
76.5,11,115,55569.5,0.229808331,0.205829586,0.175736255,,,,,,,,,,,-0.499255037,-2.100703817,-0.496564174,-1.104381496,-0.290057932,-0.557122445,-0.318193952
76.75,11,495,83354.25,0.217033597,0.147051463,0.121928796,,,,,,,,,,,-0.456337364,-2.100703817,-0.192414279,-1.034954304,-0.443730903,-1.441206918,-1.177030413
77,11,402,111139,0.228723582,0.173995075,0.132987362,,,,,,,,,,,-0.413419691,-2.100703817,-0.266850964,-0.965527111,-0.303106861,-1.035946801,-1.000521433
77.25,11,396,138923.75,0.217860206,0.206915258,0.206954244,,,,,,,,,,,-0.370502019,-2.100703817,-0.271653331,-0.896099919,-0.433787255,-0.540792803,0.180085426
77.5,11,316,162011.535,0.216753619,0.305150037,0.239168887,,,,,,,,,,,-0.327584346,-2.100703817,-0.335684887,-0.838409276,-0.447098883,0.936761061,0.694272688
77.75,11,233,162011.535,0.214901672,0.265599306,0.222571764,,,,,,,,,,,-0.284666673,-2.100703817,-0.402117628,-0.838409276,-0.469376779,0.341876683,0.429361193
78,11,169,138923.75,0.296771173,0.335293232,0.390745456,,,,,,,,,,,-0.241749001,-2.100703817,-0.453342873,-0.896099919,0.51546795,1.390146254,3.113630274
78.25,11,106,117880.7055,0.240121122,0.271344434,0.332094869,,,,,,,,,,,-0.198831328,-2.100703817,-0.503767724,-0.948681263,-0.166000771,0.42828942,2.177491242
78.5,11,104,100179.3399,0.247820622,0.224836462,0.384571972,,,,,,,,,,,-0.155913655,-2.100703817,-0.505368513,-0.992912581,-0.073380053,-0.271239143,3.015093505
78.75,11,92,78587.13921,0.264350719,0.256228704,0.284814743,,,,,,,,,,,-0.112995983,-2.100703817,-0.514973246,-1.04686613,0.125467854,0.200933024,1.422839436
79,11,67,62128.59065,0.281753865,0.179929691,0.23653351,,,,,,,,,,,-0.07007831,-2.100703817,-0.534983108,-1.087991957,0.334818057,-0.946683966,0.652208671
79.25,11,32,55569.5,0.25234473,0.240878749,0.251023533,,,,,,,,,,,-0.027160637,-2.100703817,-0.562996914,-1.104381496,-0.01895754,-0.02994636,0.883488131
79.5,11,19,27784.75,0.282474395,0.209509284,0.157152661,,,,,,,,,,,0.015757035,-2.100703817,-0.573402042,-1.173808689,0.343485633,-0.501775937,-0.614812086
